Participant;Based;Field;Position;OpenSoftware;Publications;PreprintGreen
6;Europe;Both;Senior;Yes;Yes;No
21;Americas;Both;Junior;No;No;Yes
79;Americas;Modern;Junior;Yes;Yes;No
55;Americas;Both;Junior;No;Yes;Yes
62;Asia;Both;Junior;Yes;Yes;Yes
76;Europe;Both;Junior;Yes;Yes;Yes
12;Europe;Both;Junior;No;Yes;No
22;Americas;Both;Junior;No;Yes;No
50;Europe;Both;Junior;Yes;Yes;Yes
25;Europe;Both;Junior;Yes;Yes;No
29;Europe;Both;Junior;Yes;Yes;No
10;Europe;Both;Junior;No;Yes;No
23;Asia;Both;Junior;Yes;Yes;Yes
37;Americas;Both;Junior;No;Yes;No
38;Americas;Both;Junior;Yes;Yes;No
58;Americas;Both;Junior;No;Yes;No
73;Europe;Modern;Junior;Yes;Yes;No
3;Americas;Past;Junior;No;Yes;No
59;Asia;Past;Junior;No;Yes;No
11;Europe;Past;Junior;No;Yes;Yes
13;Europe;Past;Junior;No;Yes;Yes
19;Australia_Pacific;Past;Junior;No;Yes;Yes
24;Americas;Past;Junior;No;Yes;No
41;Americas;Past;Junior;Yes;Yes;No
47;Americas;Past;Junior;Yes;Yes;No
53;Americas;Past;Junior;No;Yes;Yes
75;Asia;Past;Junior;Yes;No;Yes
77;Americas;Modern;Junior;Yes;No;No
52;Asia;Past;Junior;No;No;Yes
14;Europe;Past;Junior;Yes;No;Yes
61;Europe;Past;Junior;Yes;No;Yes
64;Europe;Past;Junior;Yes;No;Yes
31;Europe;Past;Junior;No;No;No
36;Americas;Past;Junior;No;No;Yes
40;Americas;Past;Junior;No;Yes;No
54;Africa;Modern;Junior;Yes;Yes;No
56;Americas;Past;Junior;No;Yes;No
70;Americas;Modern;Junior;No;Yes;Yes
27;Europe;Past;Junior;No;Yes;No
28;Europe;Past;Junior;No;Yes;Yes
33;Americas;Past;Junior;No;Yes;No
39;Americas;Past;Junior;No;Yes;No
57;Americas;Past;Junior;No;Yes;No
60;Americas;Past;Junior;Yes;Yes;Yes
72;Europe;Past;Junior;No;Yes;Yes
15;Americas;Modern;Junior;No;Yes;No
20;Europe;Past;Professional;No;Yes;No
26;Europe;Past;Professional;No;Yes;No
32;Americas;Past;Professional;No;Yes;No
35;Americas;Past;Professional;No;Yes;No
45;Americas;Past;Senior;No;Yes;Yes
49;Americas;Past;Senior;No;Yes;Yes
65;Europe;Past;Senior;No;Yes;No
78;Asia;Modern;Senior;No;Yes;No
18;Europe;Past;Senior;Yes;Yes;Yes
66;Australia_Pacific;Past;Senior;No;No;No
2;Americas;Past;Senior;No;Yes;No
9;Europe;Past;Senior;Yes;Yes;No
43;Europe;Past;Senior;No;Yes;Yes
46;Europe;Past;Senior;No;Yes;No
67;Americas;Past;Senior;No;Yes;No
68;Africa;Past;Senior;No;Yes;Yes
81;Europe;Past;Senior;No;Yes;Yes
5;Americas;Past;Senior;Yes;Yes;No
7;Asia;Both;Senior;No;Yes;No
44;Australia_Pacific;Past;Senior;No;Yes;No
1;Americas;Past;Senior;No;Yes;No
63;Asia;Both;Senior;No;Yes;No
34;Americas;Both;Senior;Yes;Yes;No
8;Europe;Past;Senior;Yes;Yes;Yes
16;Europe;Past;Senior;No;Yes;No
17;Europe;Past;Senior;No;Yes;No
51;Asia;Both;Senior;No;Yes;Yes
74;Asia;Both;Senior;No;Yes;No
80;Europe;Past;Senior;No;Yes;No
4;Americas;Past;Senior;Yes;Yes;Yes
69;Americas;Both;Senior;No;Yes;No
30;Europe;Past;Senior;No;Yes;Yes
71;Americas;Past;Senior;No;Yes;Yes
48;Australia_Pacific;Past;Senior;No;Yes;No
42;Americas;Past;Senior;No;Yes;Yes
