Sample;Gender;Based;Research1;Research2;Field1;Field2;Position;SoftAnalysis1;SoftAnalysis2;SoftAnalysis3;SoftAnalysis4;OpenAllAnalysis;OpenSomeAnalysis;SoftWriting1;SoftWriting2;SoftWriting3;SoftWriting4;OpenAllWriting;OpenSomeWriting;SoftViz1;SoftViz2;SoftViz3;SoftViz4;OpenAllViz;OpenSomeViz;WhichKnownRepositories;KnownRepositories;PublishedSomething;WillGA;WillGAIf;WillGANo;PublishedNoWillPreprint;WillPreprintWhich;WillPreprintWhichWhy;WillPreprintNo;DidGA;WhyYes1;WhyYes2;WhyYes3;DidGANo1;DidGANo2;NoGAWillGreen;DidPreprint;LevelPreprint;WhichPreprint;PreprintNo1;PreprintNo2;WillPreprint;Methods1;Methods2;Replicability;NewData;RawData;WhereRaw1;WhereRaw2;RawRepo1;RawRepo2;RawRepo3;Recognition;MoreOD;Contact1;Contact2;Contact3;Contact4;Contact5;ContactOption;Social;Part2;Timestamp
5;Non-binary;Americas;Americas;;Archaeology;Palaeoenvironment;PhD_candidate;Sheets;Excel;;;No;No;Docs;Word;;;No;No;Illustrator;Office;R;;No;Yes;Neotoma;Yes;No;Yes;Required;;No;;;Plagiarism;;;;;;;;;;;;;;;;;;;;;;;;No;Yes;Email;;;;;Email;No;Yes;2021/05/25_8:18:06_pm_CET
7;Male;Asia;Asia;;Geochemistry;Palaeoenvironment;PhD_candidate;Excel;;;;No;No;Docs;Word;;;No;No;Office;;;;No;No;;No;No;No;;Funding;Yes;No;;;;;;;;;;;;;;;;;;;;;;;;;;Maybe;Yes;Email;Twitter;;;;Email;Yes;Yes;2021/05/26_8:07:54_am_CET
12;Female;Europe;Asia;;Archaeology;Botany;PhD_candidate;Sheets;Excel;R;;No;Yes;Docs;Word;;;No;No;Office;R;;;No;Yes;;No;No;Yes;Facilitated;;Yes;No;;;;;;;;;;;;;;;;;;;;;;;;;;Maybe;Yes;Email;Twitter;Instagram;;;Email;Yes;Yes;2021/05/28_3:42:54_pm_CET
14;Female;Europe;Europe;;Archaeology;;PhD_candidate;Excel;R;PAST;MorphJ;No;Yes;Docs;Word;;;No;No;Illustrator;Office;R;Inkscape;No;Yes;I have used phytcore and kNow a few open access repositories, but have yet to use them (just started my PhD!);Yes;No;Yes;Voluntary;;Yes;No;;;;;;;;;;;;;;;;;;;;;;;;;;Maybe;Yes;Email;Twitter;;;;Email;Yes;Yes;2021/05/31_6:40:41_pm_CET
34;Female;Americas;Americas;;Geochemistry;Palaeoenvironment;Senior_tenured;Excel;R;Infostat;;No;Yes;Word;;;;No;No;Illustrator;Office;Tilia;Tilia;No;No;;No;No;No;;Funding;No;;;Uselss;;;;;;;;;;;;;;;;;;;;;;;;Maybe;Yes;Email;;;;;Email;No;Yes;2021/08/05_12:44:24_am_CET
44;Female;Australia_Pacific;Australia_Pacific;;Archaeology;Palaeoenvironment;PhD_candidate;Excel;R;PAST;Tilia;No;Yes;Docs;Word;;;No;No;Illustrator;Office;R;;No;Yes;for older articles mainly;Yes;No;Yes;Facilitated;;Yes;No;;;;;;;;;;;;;;;;;;;;;;;;;;Maybe;Yes;Email;;;;;Email;No;Yes;2021/09/08_4:25:56_am_CET
52;Female;Asia;Asia;;Archaeology;;MA_graduate;R;Access;;;No;Yes;LaTeX;Word;;;No;Yes;Illustrator;R;;;No;Yes;;No;No;No;;Green;Yes;No;;;;;;;;;;;;;;;;;;;;;;;;;;Incentive;Yes;Email;;;;;Email;No;Yes;2021/10/11_8:50:24_pm_CET
59;Female;Asia;Asia;;Archaeology;;BA_student;R;Stata;;;No;Yes;Word;;;;No;No;Illustrator;Office;Tilia;;No;No;GitHub;Yes;No;Yes;Voluntary;;Yes;No;;;;;;;;;;;;;;;;;;;;;;;;;;Maybe;Yes;Email;;;;;Email;No;Yes;2021/10/15_10:45:41_am_CET
61;Female;Europe;Asia;;Archaeology;;PhD_candidate;Excel;;;;No;No;Word;;;;No;No;Illustrator;Office;Tilia;;No;No;;No;No;No;;Unaware;No;;;Unaware;;;;;;;;;;;;;;;;;;;;;;;;Maybe;Yes;Email;Instagram;;;;Email;Yes;Yes;2021/10/18_10:28:04_am_CET
64;Female;Europe;Europe;;Archaeology;;PhD_candidate;Excel;R;PAST;;No;Yes;Word;;;;No;No;R;Tilia;;;No;Yes;;No;No;Yes;Voluntary;;Yes;No;;;;;;;;;;;;;;;;;;;;;;;;;;Incentive;Yes;Email;Twitter;;;;Email;Yes;Yes;2021/11/04_6:37:03_pm_CET
