Timestamp,Gender,Where are you based?,"Where do you mainly conduct your research (i.e., where do you do fieldwork/get your samples from)?",What is your main field of research (please choose maximum 2)?,What is your current position?,What software for data and statistical analysis do you use in your research (tick all applicable)?,What software do you use for writing (tick all applicable)?,What software do you use for data visualisation (tick all applicable)?,"If you kNow and/or use open access repositories, can you briefly tell us which?",Have you published any paper/s (Not necessarily phytolith-related and Not necessarily as first author)?,Would you like to publish gold open access?,In what case would you consider publishing gold open access?,Why do you think you will Not publish gold open access?,Will you consider publishing pre-prints of your work?,Do you kNow which pre-print server you are most likely to use?,Can you tell us which and why you think it is most appropriate?,Can you tell us why?,8. Have you published your work using gold open access?,Why did you choose to publish gold open access?,Why have you never published gold open access?,Have you published a pre-print version of your papers?,Give us an assessment (1 = only once; 5 = all my papers),How did you choose which pre-print server you published with?,Can you tell us why?,How do you Normally describe the methods in your papers?,Do you generally consider that your methods are replicable?,How many papers that include new phytolith data have you published?,"How many of your published papers (as a percentage of your total papers) contain raw data, either in the paper itself, in supplementary files or deposited in open access repositories?",How did you publish your raw data (check all that apply)?,If you have never published raw data can you tell us why?,"Would you be interested in receiving some sort of recognition for producing open phytolith data and papers (for example, getting an Open Badge)?",Would you be interested in kNowing more about open data possibilities for phytolith researchers?,"What would be your preferred method to be kept informed about phytolith open data (news, results, campaigns, etc.)?",Would you be willing to contribute to our community effort to improve data sharing in phytolith research?,,,
2021/05/25 2:50:29 pm CET,Male,Americas,Europe,"Archaeology (and related disciplines: EthNoarchaeology, Archaeometry, Bioarchaeology, etc.);Palaeoenvironment",PhD candidate,Microsoft Excel;SPSS,Microsoft Word,"""Office"" graphics (e.g. Excel or PowerPoint);Tilia",,Yes,,,,,,,,No,,I would have liked to but had No money to pay for APCs,No,,,Did Not kNow it was an option.,I describe everything in detail,Yes,None,5,As supplementary file,,"I am Not sure, I should learn more about Open Badges",Yes,Email,Yes - Follow-up questions (Not fully aNonymous)!,,,
2021/05/25 6:29:06 pm CET,Female,Americas,Asia,"Archaeology (and related disciplines: EthNoarchaeology, Archaeometry, Bioarchaeology, etc.);Palaeoenvironment",Junior postdoc (up to 7 years from PhD),CANoCO;Microsoft Excel;SPSS;PAST,Google Docs;Microsoft Word,"Illustrator;""Office"" graphics (e.g. Excel or PowerPoint);PAST",JOAD Dataverse,Yes,,,,,,,,Yes,"It was required to by the funding body;I planned for it as part of the project (you budgeted for this);It was facilitated by one of the co-authors institution (an institution has open access funds or deals with publishers, etc.)",,No,,,I am afraid of plagiarism;my work has previously been plagarised,I describe everything in detail;(I try to describe them in detail but often there are word count issues),Yes,01-May,4,As table in the main text;As supplementary file;In an institutional repository,,"Yes, and it will definitely be an incentive to be more open",Yes,Email;Twitter;Facebook,Yes - Follow-up questions (Not fully aNonymous)!,,,
2021/05/25 6:43:15 pm CET,Female,Americas,Asia;Australia and the Pacific,"Archaeology (and related disciplines: EthNoarchaeology, Archaeometry, Bioarchaeology, etc.)",Adjunct Faculty,Microsoft Excel;R;Image J,Google Docs;Microsoft Word,"C2;""Office"" graphics (e.g. Excel or PowerPoint);R",,Yes,,,,,,,,Yes,"I planned for it as part of the project (you budgeted for this);It was facilitated by one of the co-authors institution (an institution has open access funds or deals with publishers, etc.);The journals themselves were completely open access",,No,,,I am afraid of plagiarism;I do Not think Non-peer-reviewed research should be treated as scientific evidence,I only reference published methods;I only describe things that deviate from published procedures,Yes,More than 5,4,"As table in the main text;As supplementary file;In a general repository (e.g., ZeNodo, Open Science Framework, etc.)",,"I am Not sure, I should learn more about Open Badges",Yes,Email,Yes - Follow-up questions (Not fully aNonymous)!,,,
2021/05/25 7:53:24 pm CET,Male,Americas,Asia;Europe,"Archaeology (and related disciplines: EthNoarchaeology, Archaeometry, Bioarchaeology, etc.);Palaeoenvironment",Senior researcher (untenured),R,Microsoft Word,"Illustrator;""Office"" graphics (e.g. Excel or PowerPoint);R",,Yes,,,,,,,,Yes,"It was facilitated by one of the co-authors institution (an institution has open access funds or deals with publishers, etc.)",,No,,,I haven Not done it so far but I am planning to with my next papers,I describe everything in detail,Yes,More than 5,2,As supplementary file,,"I mean, I don't care for the recognition but I would include open data in future publications",Yes,Email,Yes - Follow-up questions (Not fully aNonymous)!,,,
2021/05/25 8:18:06 pm CET,Non-binary,Americas,Americas,"Archaeology (and related disciplines: EthNoarchaeology, Archaeometry, Bioarchaeology, etc.);Palaeoenvironment",PhD candidate,Google Sheet;Microsoft Excel,Google Docs;Microsoft Word,"Illustrator;""Office"" graphics (e.g. Excel or PowerPoint);Tilia",Neotoma,No,Yes,Only if it is requested by the body that is funding my research,,No,,,I am afraid of plagiarism,No,,I did Not kNow this possibility existed,No,,,I am afraid of plagiarism;I do Not think Non-peer-reviewed research should be treated as scientific evidence,I describe everything in detail,Yes,None,0,Not applicable,,"No, I do Not think it is something that interests me at all",Yes,Email,Yes - Follow-up questions (Not fully aNonymous)!,,,
2021/05/26 8:07:54 am CET,Male,Asia,Asia,Geochemistry;Palaeoenvironment;Sedimentolgy,PhD candidate,Microsoft Excel,Google Docs;Microsoft Word,"""Office"" graphics (e.g. Excel or PowerPoint)",,No,No,,I would liked to but it will be hard to find money to pay for APCs,Yes,No,,,,,,,,,,,,,,,,"I am Not sure, I should learn more about Open Badges",Yes,Email;Twitter,Yes - Follow-up questions (Not fully aNonymous)!,,,
2021/05/26 7:02:12 pm CET,Male,Europe,Africa;Europe,"AgroNomy;Archaeology (and related disciplines: EthNoarchaeology, Archaeometry, Bioarchaeology, etc.);Palaeoenvironment",Junior postdoc (up to 7 years from PhD),Microsoft Excel;R;SPSS,Microsoft Word,Illustrator;R;Tilia,,Yes,,,,,,,,Yes,"It was required to by the funding body;It was facilitated by one of the co-authors institution (an institution has open access funds or deals with publishers, etc.)",,No,,,I haven Not done it so far but I am planning to with my next papers,I describe everything in detail,Yes,More than 5,5,As table in the main text;As supplementary file,,"I am Not sure, I should learn more about Open Badges",Yes,Email,Yes - Follow-up questions (Not fully aNonymous)!,,,
2021/05/27 5:00:39 pm CET,Male,Europe,Africa;Americas;Asia,"Archaeology (and related disciplines: EthNoarchaeology, Archaeometry, Bioarchaeology, etc.);Palaeoenvironment",Senior researcher (tenured),CANoCO;Microsoft Excel,Google Docs;Microsoft Word;Open/Libre Office writer,"Illustrator;""Office"" graphics (e.g. Excel or PowerPoint);Tilia","ResearchGate, PANGEA",Yes,,,,,,,,Yes,"It was facilitated by one of the co-authors institution (an institution has open access funds or deals with publishers, etc.)",,Yes,2,suggestions from colleagues,,"I only reference published methods;I describe everything in detail;I often specify them in the ""additional information""",Yes,More than 5,4,As table in the main text;As supplementary file,,"Yes, but it will Not make me change my present way of working (i.e., I will Not produce more open work)",Yes,Email,Yes - Follow-up questions (Not fully aNonymous)!,,,
2021/05/27 5:40:02 pm CET,Male,Europe,Americas,"Archaeology (and related disciplines: EthNoarchaeology, Archaeometry, Bioarchaeology, etc.);Palaeoenvironment",Junior postdoc (up to 7 years from PhD),R,Google Docs;Microsoft Word,C2;R,bioRxiv; ZeNodo; e-Repositori (Univeritat Pompeu Fabra Digital Repository); GitHub,Yes,,,,,,,,No,,I did Not kNow this possibility existed,No,,,I haven Not done it so far but I am planning to with my next papers;I am afraid of plagiarism,I describe everything in detail,Yes,01-May,2,As supplementary file;In an institutional repository,,"Yes, and it will definitely be an incentive to be more open",Yes,Email;Twitter,Yes - Follow-up questions (Not fully aNonymous)!,,,
2021/05/27 7:09:35 pm CET,Female,Europe,Africa;Asia,"Archaeology (and related disciplines: EthNoarchaeology, Archaeometry, Bioarchaeology, etc.);Botany (and related disciplines: Plant physiology, Crop breeding, etc.)",Senior researcher (tenured),Google Sheet;Microsoft Excel;R,Google Docs;HackMD;LaTex;Microsoft Word,"""Office"" graphics (e.g. Excel or PowerPoint);R","Open Science Framework, Zotero, Institutional",Yes,,,,,,,,Yes,"It was required to by the funding body;I planned for it as part of the project (you budgeted for this);It was facilitated by one of the co-authors institution (an institution has open access funds or deals with publishers, etc.)",,Yes,2,Looked for a subject-specific one / was suggested by the OA journal to which I submitted my paper,,I describe everything in detail,Yes,More than 5,5,"As table in the main text;As supplementary file;In an institutional repository;In a general repository (e.g., ZeNodo, Open Science Framework, etc.);In a personal repository (e.g., GitHub, personal webpage, etc.)",,"Yes, but it will Not make me change my present way of working (i.e., I will Not produce more open work)",Yes,Email;Twitter,Yes - Follow-up questions (Not fully aNonymous)!,,,
2021/05/28 12:00:39 pm CET,Male,Europe,Europe,"Archaeology (and related disciplines: EthNoarchaeology, Archaeometry, Bioarchaeology, etc.)",Junior postdoc (up to 7 years from PhD),Microsoft Excel;R,Google Docs;Microsoft Word,"""Office"" graphics (e.g. Excel or PowerPoint);R;Tilia",PHYTCORE,Yes,,,,,,,,No,,I have Not published gold so far but I did publish green open access;I would have liked to but had No money to pay for APCs;The journal did Not offer this possibility,No,,,I have Not done it so far but I am planning to with my next papers,I describe everything in detail,Yes,01-May,0,As table in the main text;As supplementary file,,"Yes, and it will definitely be an incentive to be more open",Yes,Email;Twitter,Yes - Follow-up questions (Not fully aNonymous)!,,,
2021/05/28 3:42:54 pm CET,Female,Europe,Asia,"Archaeology (and related disciplines: EthNoarchaeology, Archaeometry, Bioarchaeology, etc.);Botany (and related disciplines: Plant physiology, Crop breeding, etc.)",PhD candidate,Google Sheet;Microsoft Excel;R,Google Docs;Microsoft Word,"""Office"" graphics (e.g. Excel or PowerPoint);R",,No,Yes,Only if a co-author or one of the involved institutions facilitates it,,Yes,No,,,,,,,,,,,,,,,,"I am Not sure, I should learn more about Open Badges",Yes,Email;Twitter;Instagram,Yes - Follow-up questions (Not fully aNonymous)!,,,
2021/05/31 4:19:01 pm CET,Female,Europe,Asia,"Archaeology (and related disciplines: EthNoarchaeology, Archaeometry, Bioarchaeology, etc.)",Junior postdoc (up to 7 years from PhD),Microsoft Excel;R,Google Docs;Microsoft Word,"Illustrator;""Office"" graphics (e.g. Excel or PowerPoint);R",,Yes,,,,,,,,Yes,"It was facilitated by one of the co-authors institution (an institution has open access funds or deals with publishers, etc.)",,Yes,4,The ones I use to find papers,,Combination of options 1-3 depending on the journal format,Yes as the methods developments were checking for replicability and since we have verified that things are replicable within error margin,01-May,0,As table in the main text,,"I am Not sure, I should learn more about Open Badges",Yes,Email;Twitter;Facebook;Slack;Phytolith society updates,Yes - Follow-up questions (Not fully aNonymous)!,,,
2021/05/31 4:58:21 pm CET,Female,Europe,Europe,"Archaeology (and related disciplines: EthNoarchaeology, Archaeometry, Bioarchaeology, etc.)",retired Independent scholar,Microsoft Excel,Microsoft Word,"""Office"" graphics (e.g. Excel or PowerPoint)",,Yes,,,,,,,,No,,I did Not kNow this possibility existed,No,,,I am afraid of plagiarism,I describe everything in detail,Yes,None,3,As table in the main text,,I am working in archaeobotany -seed identification,No,Email,"No - Thank you for your time, the survey ends here!",,,
2021/05/31 6:40:41 pm CET,Female,Europe,Europe,"Archaeology (and related disciplines: EthNoarchaeology, Archaeometry, Bioarchaeology, etc.)",PhD candidate,"Microsoft Excel;R;PAST, MorphoJ",Google Docs;Microsoft Word,"Illustrator;""Office"" graphics (e.g. Excel or PowerPoint);R;Inkscape","I have used phytcore and kNow a few open access repositories, but have yet to use them (just started my PhD!)",No,Yes,I will try to find funding to pay the processing fees,,Yes,No,,,,,,,,,,,,,,,,"I am Not sure, I should learn more about Open Badges",Yes,Email;Twitter,Yes - Follow-up questions (Not fully aNonymous)!,,,
2021/06/01 6:19:00 am CET,Female,Europe,Europe,"Archaeology (and related disciplines: EthNoarchaeology, Archaeometry, Bioarchaeology, etc.);Palaeoenvironment",Senior researcher (tenured),CANoCO;Microsoft Excel,Microsoft Word,"""Office"" graphics (e.g. Excel or PowerPoint)",,Yes,,,,,,,,Yes,I planned for it as part of the project (you budgeted for this),,No,,,I am afraid of plagiarism;I do Not think Non-peer-reviewed research should be treated as scientific evidence,I describe everything in detail,Yes,None,2,As table in the main text;As supplementary file;In an institutional repository,,"I am Not sure, I should learn more about Open Badges",Yes,Email,"No - Thank you for your time, the survey ends here!",,,
2021/06/01 8:36:36 am CET,Female,Europe,Asia;Europe,"Archaeology (and related disciplines: EthNoarchaeology, Archaeometry, Bioarchaeology, etc.);Palaeoenvironment",Senior researcher (tenured),Microsoft Excel;R;PAST,Microsoft Word,"Grapher;Illustrator;""Office"" graphics (e.g. Excel or PowerPoint);R;Tilia","EPD, Neotoma, Pangea",Yes,,,,,,,,Yes,It was required to by the funding body,,Yes,3,proposed by the publisher,,I only describe things that deviate from published procedures;I describe everything in detail,Yes,None,3,"As supplementary file;In a subject-base online repository (e.g., Pangaea, Neotoma, etc.)",,"No, I do Not think it is something that interests me at all",Yes,Email,Yes - Follow-up questions (Not fully aNonymous)!,,,
2021/06/01 9:02:34 am CET,Female,Europe,Africa;Europe,"Archaeology (and related disciplines: EthNoarchaeology, Archaeometry, Bioarchaeology, etc.)",Senior researcher (untenured),Microsoft Excel,Microsoft Word,"Illustrator;""Office"" graphics (e.g. Excel or PowerPoint)",,Yes,,,,,,,,No,,I do Not think it is worth paying for this option;I do Not think gold open access is an ethical choice,No,,,I do Not think Non-peer-reviewed research should be treated as scientific evidence,I describe everything in detail,Yes,None,4,As table in the main text;As supplementary file,,"I am Not sure, I should learn more about Open Badges",Maybe,Email,Yes - Follow-up questions (Not fully aNonymous)!,,,
2021/06/01 2:13:37 pm CET,Female,Americas,Americas,"Botany (and related disciplines: Plant physiology, Crop breeding, etc.)",Senior researcher (tenured),"Microsoft Excel;R;Pcord, statistical",Microsoft Word,"C2;""Office"" graphics (e.g. Excel or PowerPoint);statistical, Pcord",,Yes,,,,,,,,No,,"I don´t think it is right to pay for access to papers, and I think it is Not fair for the authors to pay for the divugation of their work",Yes,3,,,I only describe things that deviate from published procedures,Yes,More than 5,3,As table in the main text;As supplementary file,,"I am Not sure, I should learn more about Open Badges",Yes,Email,"No - Thank you for your time, the survey ends here!",,,
2021/06/02 10:09:18 am CET,Female,Australia and the Pacific,Asia;Australia and the Pacific,"Archaeology (and related disciplines: EthNoarchaeology, Archaeometry, Bioarchaeology, etc.)",Junior postdoc (up to 7 years from PhD),Microsoft Excel;R;SPSS,Google Docs;Microsoft Word,"Illustrator;""Office"" graphics (e.g. Excel or PowerPoint);R",,Yes,,,,,,,,No,,I have Not published gold so far but I did publish green open access;I would have liked to but had No money to pay for APCs;co-authors did Not want to do this,No,,,My co-authors did Not agree,I only describe things that deviate from published procedures;I describe everything in detail,Yes,01-May,4,As supplementary file,,"I am Not sure, I should learn more about Open Badges",Yes,Email,Yes - Follow-up questions (Not fully aNonymous)!,,,
2021/06/02 4:34:04 pm CET,Female,Europe,Africa;Asia,Palaeoenvironment,Senior researcher (tenured),Microsoft Excel;R;PAST4,Microsoft Word,"""Office"" graphics (e.g. Excel or PowerPoint);PAST4",https://hal-cnrs.archives-ouvertes.fr,Yes,,,,,,,,No,,I have Not published gold so far but I did publish green open access;I do Not think gold open access is an ethical choice,No,,,I do Not think it is useful;I do Not think Non-peer-reviewed research should be treated as scientific evidence,"I describe everything, briefly and sometimes refer to a publication where more details are given",Yes,More than 5,5,As supplementary file,,"Yes, why Not",Yes,Email,Yes - Follow-up questions (Not fully aNonymous)!,,,
2021/06/02 8:38:23 pm CET,Female,Americas,Americas,"AgroNomy;Archaeology (and related disciplines: EthNoarchaeology, Archaeometry, Bioarchaeology, etc.)",PhD candidate,Microsoft Excel;R;FileMaker Pro; SYSTAT,Google Docs;Microsoft Word,Illustrator;R;SYSTAT,Missouri Phytolith Database,Yes,,,,,,,,No,,I would have liked to but had No money to pay for APCs;I do Not think it is worth paying for this option,No,,,I do Not think it is useful,I only describe things that deviate from published procedures;I describe everything in detail,Yes,01-May,5,As table in the main text;As supplementary file,,"Yes, and it will definitely be an incentive to be more open",Maybe,Email,"No - Thank you for your time, the survey ends here!",,,
2021/06/06 6:19:59 pm CET,Female,Americas,Europe,"Archaeology (and related disciplines: EthNoarchaeology, Archaeometry, Bioarchaeology, etc.);Botany (and related disciplines: Plant physiology, Crop breeding, etc.)",PhD candidate,Microsoft Excel,Google Docs;Microsoft Word;Pages,"""Office"" graphics (e.g. Excel or PowerPoint)",,Yes,,,,,,,,No,,The journal did Not offer this possibility,No,,,Not permitted by journal,I describe everything in detail,Yes,None,0,In an institutional repository,,"I am Not sure, I should learn more about Open Badges",Yes,Email;Instagram,Yes - Follow-up questions (Not fully aNonymous)!,,,
2021/06/14 10:23:17 am CET,Male,Asia,Asia,"Archaeology (and related disciplines: EthNoarchaeology, Archaeometry, Bioarchaeology, etc.);Botany (and related disciplines: Plant physiology, Crop breeding, etc.);Geochemistry;Palaeoenvironment",Senior researcher (tenured),CANoCO;Microsoft Excel;SPSS,Microsoft Word,C2;Grapher;Tilia,Yes,Yes,,,,,,,,Yes,It was required to by the funding body;I planned for it as part of the project (you budgeted for this),,No,,,I have Not done it so far but I am planning to with my next papers,I only describe things that deviate from published procedures;I describe everything in detail,Yes,More than 5,3,As supplementary file,,"Yes, but it will Not make me change my present way of working (i.e., I will Not produce more open work)",Yes,Email,Yes - Follow-up questions (Not fully aNonymous)!,,,
2021/06/16 5:16:13 pm CET,Male,Americas,Americas,"Archaeology (and related disciplines: EthNoarchaeology, Archaeometry, Bioarchaeology, etc.)",Junior postdoc (up to 7 years from PhD),Google Sheet;Microsoft Excel,Google Docs;Microsoft Word,"C2;""Office"" graphics (e.g. Excel or PowerPoint)",,Yes,,,,,,,,No,,"I have Not published gold so far but I did publish green open access;I would have liked to but had No money to pay for APCs;I would have liked to but I think that the fees are too high (i.e., I would pay if fees were lower)",No,,,I am afraid of plagiarism;My co-authors did Not agree;I do Not think Non-peer-reviewed research should be treated as scientific evidence,I only reference published methods;I only describe things that deviate from published procedures;I describe everything in detail,Yes,01-May,1,As supplementary file;In an institutional repository,,"Yes, and it will definitely be an incentive to be more open",Yes,Email;Twitter;Facebook,Yes - Follow-up questions (Not fully aNonymous)!,,,
2021/06/18 3:33:22 pm CET,Male,Europe,Europe,"Archaeology (and related disciplines: EthNoarchaeology, Archaeometry, Bioarchaeology, etc.);Botany (and related disciplines: Plant physiology, Crop breeding, etc.)","Formerly tenured, Now free lance",Microsoft Excel,Google Docs;Microsoft Word,"""Office"" graphics (e.g. Excel or PowerPoint)",No,Yes,,,,,,,,Yes,"I planned for it as part of the project (you budgeted for this);It was facilitated by one of the co-authors institution (an institution has open access funds or deals with publishers, etc.)",,No,,,I do Not think Non-peer-reviewed research should be treated as scientific evidence,I only describe things that deviate from published procedures,Yes,More than 5,0,As table in the main text;As supplementary file,,"No, I do Not think it is something that interests me at all",No,Email,"No - Thank you for your time, the survey ends here!",,,
